Title,Author,Price,Stars,URL
"Moral Story Books for Kids (Illustrated) - English Short Stories with Colourful Pictures - Bedtime Children Story Book - 3 Years to 6 Years Old Children - Read Aloud to Infants, Toddlers (Set of 10 Books)",Maple Press,₹199.00,4.5 out of 5 stars,https://www.amazon.in/Moral-Story-Books-Kids-Set/dp/9391129811/ref=zg_bs_g_books_sccl_24/000-0000000-0000000?psc=1
Spreading Joy : How Joyalukkas Became the World's Favourite Jeweller,Joy Alukkas,₹649.00,Not Available,https://www.amazon.in/Spreading-Joy-Joyalukkas-Favourite-Jeweller/dp/9356995265/ref=zg_bs_g_books_sccl_25/000-0000000-0000000?psc=1
"Little Colouring Books for Kids (Set of 10 Books) - Gift to children for painting, drawing and colouring - Alphabets, Animals, Birds, Flags, Flowers, ... Transport, Vegetables - 3 to 6 years old [Paperback] Maple Press",Maple Press,₹177.00,4.3 out of 5 stars,https://www.amazon.in/Colouring-Books-Set-10/dp/9350332167/ref=zg_bs_g_books_sccl_26/000-0000000-0000000?psc=1
Autobiography of a Yogi (Complete Original Edition),Paramahansa Yogananda,₹120.00,4.6 out of 5 stars,https://www.amazon.in/Autobiography-Yogi-Complete-Free-CD/dp/818953551X/ref=zg_bs_g_books_sccl_27/000-0000000-0000000?psc=1
201 Brain Booster Activity Book Fun Activities and Exercises For Children Tracing and Pattern Colors and Shapes Maze,Wonder House Books,₹99.00,4.5 out of 5 stars,https://www.amazon.in/201-Brain-Booster-Activity-Book/dp/935440460X/ref=zg_bs_g_books_sccl_28/000-0000000-0000000?psc=1
The Power of Your Subconscious Mind,Joseph Murphy,₹99.00,4.5 out of 5 stars,https://www.amazon.in/Power-Your-Subconscious-Mind-Success/dp/8172345666/ref=zg_bs_g_books_sccl_29/000-0000000-0000000?psc=1
"PW Chemistry Med Easy | Notes, Formulas, Tips & Tricks for NEET/JEE & Board Exams | Pankaj Sir Chemistry Handwritten Notes",Pankaj Sijairya,₹421.00,4.6 out of 5 stars,https://www.amazon.in/Chemistry-Formulas-Tricks-Pankaj-Handwritten/dp/8119352920/ref=zg_bs_g_books_sccl_30/000-0000000-0000000?psc=1
"My First Mythology Tale (Illustrated) (Set of 5 Books) - Mahabharata, Krishna, Hanuman, Ganesha, Ramayana - Story Book for Kids - English Short Stories with Colourful Pictures - Read Aloud to Infants, Toddlers",Maple Press,₹163.00,4.4 out of 5 stars,https://www.amazon.in/First-Mythology-Tale-Illustrated-Books/dp/9390292964/ref=zg_bs_g_books_sccl_1/000-0000000-0000000?psc=1
"THE SILENT PATIENT [Paperback] Michaelides, Alex",Alex Michaelides,₹160.00,4.5 out of 5 stars,https://www.amazon.in/Silent-Patient-Alex-Michaelides/dp/1409181634/ref=zg_bs_g_books_sccl_2/000-0000000-0000000?psc=1
My First Book of Patterns Pencil Control: Practice Patterns (Pattern Writing),Wonder House Books,₹88.00,4.4 out of 5 stars,https://www.amazon.in/First-Book-Patterns-Pencil-Control/dp/9387779319/ref=zg_bs_g_books_sccl_3/000-0000000-0000000?psc=1
